Network;admissibility_2;avg_degree;degen_lower;degen_upper;max_degree;memory;memoryLoad;min_degree;num_edges;num_vertices
ukroad;=3;=2.5272257328033447;=3;=3;=5;=5052.6787;=1392.8359;=1;=15641;=12378
unicode_languages;=7;=2.89170503616333;=4;=4;=141;=332.5332;=173.0791;=1;=1255;=868
wafa-ceos;=7;=7.153846263885498;=5;=5;=22;=86.50879;=86.50879;=3;=93;=26
wafa-eies;=27;=28.9777774810791;=24;=24;=44;=97.84082;=97.84082;=7;=652;=45
wafa-hightech;=13;=15.142857551574707;=12;=12;=20;=87.75879;=87.75879;=9;=159;=21
wafa-padgett;=3;=3.5999999046325684;=3;=3;=8;=85.94922;=85.94922;=1;=27;=15
web-EPA;=16;=4.171856880187988;=6;=6;=175;=2611.4922;=802.6836;=1;=8909;=4271
web-california;=26;=5.172145843505859;=11;=11;=199;=2909.3857;=859.52344;=1;=15969;=6175
web-google;=17;=4.26943826675415;=17;=17;=59;=665.5576;=264.85352;=1;=2773;=1299
wiki-vote;=162;=28.323822021484375;=53;=53;=1065;=7802.9707;=2226.581;=1;=100762;=7115
wikipedia-norm;=59;=16.344497680664062;=22;=22;=455;=1764.6475;=594.9922;=1;=15372;=1881
win95pts;=3;=2.2626261711120605;=2;=2;=9;=94.16797;=94.16797;=1;=112;=99
windsurfers;=15;=15.627906799316406;=11;=11;=31;=92.03027;=92.03027;=6;=336;=43
word_adjacencies;=11;=7.589285850524902;=6;=6;=49;=99.65625;=99.65625;=1;=425;=112
zewail;=55;=16.292888641357422;=18;=18;=331;=4931.456;=1441.9375;=1;=54182;=6651
